OPEN 5.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Sep 19 2021 11:43:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ComputeList=,/User/Configs/Comps/Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCTable=,/Sys/Lib/StdBLCTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02B RedBlue #SI-1466,1,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LogFormat=,/User/Configs/LogFormats/horsenettle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LogCodes=,-107,-108,-109,-35,-21,-36,30,23,36,21,25,-33,-34,-32,-9,-10,-8,-1,-2,-4,-5,-14,-15,-7,-12,-13,-11,-65,-66,-72,-23
PromptList=,/User/Configs/Prompts/horsenettle prompts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stability= (CO2S 15s SLP<1)(H2OS 15s SLP<1)(Flow 15s SLP<1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:43:37 start round 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$STARTOFDATA$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Block,Ramet,Obs,HHMMSS,FTime,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,Status,
PI4     ,17,d                                     ,1,11:46:13,192.5,4.42,0.0345,177,1.18,3.26,2.3,1,4.46,27.39,26.86,27.29,400.85,398.6,2.431,2.971,6.43,7.86,499.7,401,0,96.91,0.428,0.0224,0.7,111115,
OP8     ,17,d                                     ,2,11:48:49,348,6.34,0.0715,237,2.33,3.15,2.3,1,4.46,27.52,26.6,27.42,400.93,397.58,2.522,3.591,6.63,9.43,499.7,400,0,96.91,0.428,0.0224,0.7,111115,
PI15    ,17,d                                     ,3,11:51:20,499,13.2,0.0572,9.02,1.92,3.23,2.3,1,4.46,27.62,26.97,27.52,400.79,394.36,2.598,3.479,6.78,9.09,499.7,400,0,96.91,0.428,0.0224,0.7,111115,
OP9     ,17,d                                     ,4,11:53:44,642.5,8.05,0.103,252,3.32,3.13,2.3,1,4.46,27.69,26.79,27.61,400.82,396.51,2.661,4.181,6.92,10.87,499.7,400,0,96.93,0.428,0.0224,0.7,111115,
OP5     ,18,d                                     ,5,11:56:19,798,8.72,0.0781,197,2.58,3.19,2.3,1,4.46,27.78,26.95,27.7,399.37,394.88,2.725,3.907,7.05,10.11,499.7,400,0,96.92,0.428,0.0224,0.7,111115,
OP4     ,18,d                                     ,6,11:58:49,947.5,6.68,0.102,272,3.34,3.18,2.3,1,4.46,27.84,27.11,27.77,400.13,396.44,2.783,4.315,7.17,11.12,499.7,400,0,96.91,0.428,0.0224,0.7,111115,
PI12    ,18,d                                     ,7,12:01:38,1117,9.93,0.0414,-1.97,1.44,3.32,2.3,1,4.46,27.87,27.36,27.79,400.16,395.33,2.823,3.481,7.26,8.96,499.7,401,0,96.91,0.428,0.0224,1,111115,
PI19    ,6,b                                     ,8,12:06:13,1392.5,1.76,0.00927,81.7,0.332,3.41,2.3,1,4.46,27.9,27.56,27.83,400.35,399.48,2.856,3.009,7.33,7.73,499.7,401,0,96.9,0.428,0.0224,0.7,111115,
PI3     ,18,d                                     ,9,12:07:54,1493,4.78,0.0346,158,1.19,3.28,2.3,1,4.46,27.9,27.17,27.83,398.73,396.31,2.869,3.415,7.37,8.77,499.7,400,0,96.89,0.428,0.0224,1,111115,
        ,x                 ,x                                     ,10,12:09:09,1569,-69.1,-0.128,-410,-4.47,3.23,2.3,1,4.46,27.77,25.66,27.8,400.01,432.69,2.873,0.819,7.43,2.12,499.7,400,0,96.89,0.428,0.0224,0.7,111115,
CE10    ,6,b                                     ,11,12:12:17,1756.5,9.28,0.0387,-3.4,1.32,3.28,2.3,1,4.46,27.88,27.18,27.81,398.67,394.15,2.883,3.491,7.41,8.97,499.6,401,0,96.9,0.428,0.0224,0.7,111115,
OP3     ,16,d                                     ,12,12:15:30,1949,-1.83,0.00635,826,0.227,3.41,2.3,1,4.46,27.95,27.56,27.86,399.47,400.27,2.91,3.014,7.45,7.72,499.7,401,0,96.91,0.428,0.0224,1,111115,
PI28    ,16,d                                     ,13,12:17:46,2086,8.22,0.0329,-15.9,1.15,3.33,2.3,1,4.46,28.01,27.41,27.92,400.99,397,2.941,3.466,7.5,8.85,499.7,399,0,96.91,0.428,0.0224,0.7,111115,
CE2     ,1,a                                     ,14,12:20:30,2250,15.9,0.104,130,3.31,3.08,2.3,1,4.46,28.04,26.71,27.97,399.4,391.51,2.971,4.486,7.57,11.43,499.7,401,0,96.91,0.428,0.0224,0.7,111115,
PI10    ,1,a                                     ,15,12:22:36,2375.5,12.6,0.0539,6.45,1.85,3.29,2.3,1,4.46,28.07,27.41,27.99,400.92,394.8,2.993,3.841,7.61,9.77,499.7,399,0,96.91,0.428,0.0224,0.7,111115,
OP3     ,15,c                                     ,16,12:24:23,2482.5,3.02,0.0344,237,1.2,3.33,2.3,1,4.46,28.07,27.43,28.01,398.4,396.79,3.007,3.556,7.65,9.04,499.7,400,0,96.91,0.428,0.0224,1,111115,
OP2     ,14,c                                     ,17,12:26:42,2622,19,0.0909,39.6,2.97,3.16,2.3,1,4.46,28.03,27.02,27.98,400.02,390.76,3.013,4.372,7.68,11.15,499.6,400,0,96.92,0.428,0.0224,0.7,111115,
PI19    ,15,c                                     ,18,12:28:25,2725,13.9,0.0867,118,2.84,3.17,2.3,1,4.46,28.01,27.06,27.96,399.96,393.05,3.009,4.312,7.68,11.01,499.7,399,0,96.92,0.428,0.0224,0.7,111115,
PI28    ,14,c                                     ,19,12:31:06,2886,19.3,0.0785,-18.4,2.61,3.21,2.3,1,4.46,27.95,27.18,27.91,399.99,390.64,2.997,4.193,7.68,10.74,499.6,400,0,96.92,0.428,0.0224,0.7,111115,
FR11    ,14,c                                     ,20,12:32:51,2990.5,8.39,0.0901,227,2.92,3.14,2.3,1,4.46,27.91,26.92,27.87,399.9,395.51,2.988,4.328,7.67,11.11,499.7,401,0,96.91,0.428,0.0224,0.7,111115,
OP7     ,14,c                                     ,21,12:34:43,3102.5,2.12,0.0562,319,1.85,3.17,2.3,1,4.46,27.9,26.81,27.86,399.89,398.58,2.984,3.834,7.67,9.85,499.6,400,0,96.91,0.428,0.0224,0.7,111115,
OP6     ,13,c                                     ,22,12:37:18,3258,13.7,0.0569,-8.11,1.95,3.29,2.3,1,4.46,27.91,27.39,27.85,399.94,393.26,2.98,3.873,7.65,9.94,499.7,399,0,96.91,0.428,0.0224,0.7,111115,
FR10    ,13,c                                     ,23,12:39:56,3415.5,21.2,0.0979,28,3.14,3.11,2.3,1,4.46,27.94,26.83,27.88,401.46,391.16,2.988,4.429,7.66,11.35,499.7,400,0,96.91,0.428,0.0224,0.7,111115,
PI21    ,13,c                                     ,24,12:42:21,3560.5,18.5,0.0966,66.6,3.11,3.12,2.3,1,4.46,27.99,26.85,27.92,399.84,390.77,2.994,4.418,7.65,11.29,499.6,400,0,96.91,0.428,0.0224,0.7,111115,
